label,message
spam,FREE ENTRY: Your parcel could not be delivered. Pay a small fee to reschedule: win-big-prizes.net
ham,Can you help me understand this the client call assignment?
spam,Dear Customer: Exclusive deal: Buy one PlayStation and get another absolutely free! Offer ends soon.
spam,"FREE ENTRY: You are pre-approved for a $10000 credit card. Apply now, no fees!"
spam,"You have been selected: Get a loan of $5000 approved instantly, no credit check required!"
spam,"Hey there: Act fast! Only 3 coupon books left at 90% discount, order now."
spam,URGENT: Click here to claim your free smartwatch before the offer expires today!
spam,URGENT: You have an unclaimed prize of $10000. Verify your account to receive it.
ham,Can we reschedule our lunch to next week?
spam,Dear Customer: Click here to claim your free iPhone before the offer expires today!
ham,Don't forget we have the interview scheduled for next Monday.
ham,Great job on the marketing presentation today!
ham,Can you send me the invoice before 10 AM? Thanks!
spam,WINNER!!: You have an unclaimed prize of $5000. Verify your account to receive it.
ham,"Hey, are we still meeting for the interview tomorrow at 5 PM?"
spam,"Attention: FREE laptop just for you! Limited stock, claim before midnight."
spam,Final Notice: Click here to claim your free tablet before the offer expires today!
spam,WINNER!!: Verify your identity now to avoid permanent account suspension: your-refund-portal.com
ham,"Hey, are we still meeting for the meeting tomorrow at noon?"
spam,"FREE ENTRY: You've been chosen to test our new iPhone for free, just pay shipping."
ham,How was your trip to downtown? Hope it went well.
spam,"Breaking News: Act fast! Only 3 laptops left at 90% discount, order now."
spam,Hey there: Text WIN to 80086 to enter our weekly draw and win a brand new smartwatch!
spam,Attention: Win a brand new PlayStation by simply sharing this message with 10 friends!
spam,"Limited Time Offer: Get a loan of $1000 approved instantly, no credit check required!"
ham,Can you send me the notes before 8 PM? Thanks!
spam,CONGRATULATIONS: Your Netflix account is on hold. Update billing info immediately: secure-verify-account.com
spam,"Attention: Act fast! Only 3 tablets left at 90% discount, order now."
ham,The meeting about the client call has been moved to tonight.
ham,The meeting about data science has been moved to 5 PM.
spam,FREE ENTRY: You have 1 new voicemail regarding your $1000 settlement claim. Call now.
spam,Limited Time Offer: This is your final reminder to claim your $2500 refund. Act now: your-refund-portal.com
ham,"Hey, are we still meeting for our call tomorrow at tomorrow morning?"
spam,"IMPORTANT: You are pre-approved for a $500 credit card. Apply now, no fees!"
ham,"Just landed, will call you once I reach the gym."
spam,"Dear Customer: Get a loan of $750 approved instantly, no credit check required!"
spam,Final Notice: Your parcel could not be delivered. Pay a small fee to reschedule: your-refund-portal.com
spam,Final Notice: You have 1 new voicemail regarding your $10000 settlement claim. Call now.
ham,"See you at home at 10 AM, don't be late!"
ham,"I finished the notes, sending it over shortly."
ham,Don't forget we have our call scheduled for 10 AM.
spam,"URGENT: You've been chosen to test our new laptop for free, just pay shipping."
ham,Please review the proposal and let me know your thoughts.
ham,I'll send you the presentation once I finish reviewing it.
spam,Hey there: Your parcel could not be delivered. Pay a small fee to reschedule: win-big-prizes.net
spam,URGENT: Your subscription payment of $10000 has failed. Update your card here: secure-verify-account.com
ham,"I'll be home by 3:30 PM, do you need me to pick up anything?"
spam,You have been selected: Win a brand new coupon book by simply sharing this message with 10 friends!
ham,Don't forget we have the movie scheduled for this weekend.
ham,Can you send me the report before noon? Thanks!
ham,Don't forget we have the meeting scheduled for 3:30 PM.
spam,Final Notice: URGENT: Your bank account has unusual activity. Login now to secure it: click-to-claim.co
ham,Don't forget we have the workshop scheduled for this weekend.
ham,Can we reschedule our class to next week?
ham,Can you send me the assignment before 5 PM? Thanks!
spam,"Limited Time Offer: Double your investment in gift card stocks this week only, guaranteed returns!"
spam,Limited Time Offer: Your mobile number has been selected to receive a free tablet. Reply YES to claim.
ham,Can you pick me up from the airport after work?
spam,IMPORTANT: Your subscription payment of $750 has failed. Update your card here: secure-verify-account.com
spam,"Limited Time Offer: Act fast! Only 3 laptops left at 90% discount, order now."
ham,Can you send me the proposal before next Monday? Thanks!
ham,"Thanks for the help with history today, really appreciate it."
spam,Limited Time Offer: You have won a $5000 cash prize! Claim now by clicking the link below.
ham,Can you send me the contract before this weekend? Thanks!
ham,Can you send me the invoice before next Monday? Thanks!
ham,Can you send me the report before tonight? Thanks!
spam,IMPORTANT: Exclusive deal: Buy one PlayStation and get another absolutely free! Offer ends soon.
spam,"You have been selected: Act fast! Only 3 smartwatchs left at 90% discount, order now."
ham,Don't forget we have lunch scheduled for 8 PM.
ham,Please find attached the contract you requested.
spam,Limited Time Offer: You have an unclaimed prize of $1000. Verify your account to receive it.
ham,Can you send me the assignment before 10 AM? Thanks!
spam,Limited Time Offer: Hot singles in your area want to chat with you now! Click your-refund-portal.com
ham,Are you coming to college this evening?
ham,"Hey, are we still meeting for the meeting tomorrow at this weekend?"
spam,URGENT: You have 1 new voicemail regarding your $5000 settlement claim. Call now.
spam,"URGENT: Double your investment in cruise trip stocks this week only, guaranteed returns!"
spam,CONGRATULATIONS: Win a brand new coupon book by simply sharing this message with 10 friends!
ham,I really enjoyed the movie we watched last night.
ham,The meeting about the client call has been moved to 3:30 PM.
ham,"Hey, are we still meeting for dinner tomorrow at tonight?"
spam,ALERT: You have 1 new voicemail regarding your $500 settlement claim. Call now.
ham,The meeting about the app design has been moved to 3:30 PM.
spam,FREE ENTRY: Verify your identity now to avoid permanent account suspension: secure-verify-account.com
spam,Final Notice: Hot singles in your area want to chat with you now! Click bit.ly/claim-now
ham,Can you send me the notes before noon? Thanks!
ham,Don't forget we have the workshop scheduled for 5 PM.
ham,Don't forget we have the meeting scheduled for this weekend.
ham,Don't forget we have our call scheduled for this weekend.
spam,"You have been selected: FREE smartwatch just for you! Limited stock, claim before midnight."
spam,"Dear Customer: Get a loan of $10000 approved instantly, no credit check required!"
ham,"Hey, are we still meeting for the interview tomorrow at this weekend?"
spam,"WINNER!!: Claim your government grant of $2500 today, no repayment needed!"
ham,I'll send you the proposal once I finish reviewing it.
ham,Don't forget we have our trip scheduled for noon.
ham,Let's plan the the party for next month.
spam,"WINNER!!: Act fast! Only 3 iPhones left at 90% discount, order now."
spam,WINNER!!: Hot singles in your area want to chat with you now! Click click-to-claim.co
spam,"IMPORTANT: Act fast! Only 3 tablets left at 90% discount, order now."
ham,The meeting about machine learning has been moved to noon.
ham,Let me know if you're free for the workshop this weekend.
spam,"Dear Customer: Double your investment in laptop stocks this week only, guaranteed returns!"
ham,"Hey, are we still meeting for class tomorrow at this weekend?"
ham,"See you at home at this weekend, don't be late!"
spam,Attention: Hot singles in your area want to chat with you now! Click click-to-claim.co
ham,Don't forget we have our trip scheduled for this weekend.
spam,Final Notice: Win a brand new iPhone by simply sharing this message with 10 friends!
ham,I'll send you the report once I finish reviewing it.
spam,"Attention: Act fast! Only 3 PlayStations left at 90% discount, order now."
spam,Final Notice: You have an unclaimed prize of $10000. Verify your account to receive it.
ham,Don't forget we have our call scheduled for 8 PM.
ham,Are you coming to the office this evening?
ham,The meeting about python has been moved to 5 PM.
ham,Can you send me the contract before tonight? Thanks!
spam,"WINNER!!: Get a loan of $250 approved instantly, no credit check required!"
spam,"URGENT: Earn $10000 per day working from home! No experience needed, sign up now."
ham,Can you help me understand this history assignment?
spam,"CONGRATULATIONS: You are pre-approved for a $5000 credit card. Apply now, no fees!"
ham,The meeting about the app design has been moved to tonight.
spam,"WINNER!!: You are pre-approved for a $500 credit card. Apply now, no fees!"
spam,"Limited Time Offer: Earn $500 per day working from home! No experience needed, sign up now."
ham,"I finished the contract, sending it over shortly."
spam,Dear Customer: Text WIN to 80086 to enter our weekly draw and win a brand new TV!
spam,Breaking News: Your parcel could not be delivered. Pay a small fee to reschedule: bit.ly/claim-now
ham,Can you send me the proposal before 5 PM? Thanks!
spam,ALERT: You have an unclaimed prize of $5000. Verify your account to receive it.
spam,Dear Customer: Your subscription payment of $2500 has failed. Update your card here: win-big-prizes.net
spam,URGENT: Your Netflix account is on hold. Update billing info immediately: bit.ly/claim-now
ham,"Hey, are we still meeting for the party tomorrow at 8 PM?"
ham,Don't forget we have the workshop scheduled for next Monday.
ham,"I finished the presentation, sending it over shortly."
ham,"Thanks for the help with machine learning today, really appreciate it."
spam,FREE ENTRY: Congratulations! You've been chosen for a free tablet worth $1000.
ham,"Hey, are we still meeting for the movie tomorrow at 5 PM?"
ham,"Hey, are we still meeting for the party tomorrow at tonight?"
ham,Don't forget we have the party scheduled for noon.
spam,Hey there: Verify your identity now to avoid permanent account suspension: your-refund-portal.com
